bird_observation_id,record_id,count,date,time,latitude,longitude,hemisphere,activity,speed,direction,cloud_cover,precipitation,wind_speed_class,wind_direction,air_temperature,pressure,sea_state_class,sea_surface_temperature,depth,observer,census_method,season
1,1083001,6,1975-10-15,14:00:00,-45.917,165.4,E,"steaming, sailing",15,NA,overcast,showers,5,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
2,1083001,2,1975-10-15,14:00:00,-45.917,165.4,E,"steaming, sailing",15,NA,overcast,showers,5,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
3,1083001,8,1975-10-15,14:00:00,-45.917,165.4,E,"steaming, sailing",15,NA,overcast,showers,5,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
4,1083001,2,1975-10-15,14:00:00,-45.917,165.4,E,"steaming, sailing",15,NA,overcast,showers,5,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
5,1083001,4,1975-10-15,14:00:00,-45.917,165.4,E,"steaming, sailing",15,NA,overcast,showers,5,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
6,1084001,10,1975-11-03,13:10:00,-35.533,125,E,"steaming, sailing",14,NA,partially cloudy,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
7,1084001,2,1975-11-03,13:10:00,-35.533,125,E,"steaming, sailing",14,NA,partially cloudy,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
8,1084001,18,1975-11-03,13:10:00,-35.533,125,E,"steaming, sailing",14,NA,partially cloudy,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
9,1084002,10,1975-11-04,14:20:00,-37.667,132.25,E,"steaming, sailing",14.5,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
10,1084002,2,1975-11-04,14:20:00,-37.667,132.25,E,"steaming, sailing",14.5,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
11,1084002,2,1975-11-04,14:20:00,-37.667,132.25,E,"steaming, sailing",14.5,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
12,1084002,2,1975-11-04,14:20:00,-37.667,132.25,E,"steaming, sailing",14.5,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
13,1084002,8,1975-11-04,14:20:00,-37.667,132.25,E,"steaming, sailing",14.5,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
14,1084002,1,1975-11-04,14:20:00,-37.667,132.25,E,"steaming, sailing",14.5,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
15,1084003,14,1975-11-08,16:15:00,-40,162,E,"steaming, sailing",14.6,NA,partially cloudy,squalls,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
16,1084003,4,1975-11-08,16:15:00,-40,162,E,"steaming, sailing",14.6,NA,partially cloudy,squalls,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
17,1084003,3,1975-11-08,16:15:00,-40,162,E,"steaming, sailing",14.6,NA,partially cloudy,squalls,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
18,1084003,8,1975-11-08,16:15:00,-40,162,E,"steaming, sailing",14.6,NA,partially cloudy,squalls,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
19,1084003,18,1975-11-08,16:15:00,-40,162,E,"steaming, sailing",14.6,NA,partially cloudy,squalls,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
20,1086001,6,1975-11-16,12:30:00,-36.167,174.917,E,"steaming, sailing",15,NA,partially cloudy,none,0,NA,NA,NA,1,NA,NA,D. Jeffcock,full,spring
21,1086001,55,1975-11-16,12:30:00,-36.167,174.917,E,"steaming, sailing",15,NA,partially cloudy,none,0,NA,NA,NA,1,NA,NA,D. Jeffcock,full,spring
22,1086001,12,1975-11-16,12:30:00,-36.167,174.917,E,"steaming, sailing",15,NA,partially cloudy,none,0,NA,NA,NA,1,NA,NA,D. Jeffcock,full,spring
23,1086002,22,1975-11-16,15:30:00,-35.417,174.567,E,"steaming, sailing",15,NA,overcast,none,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
24,1086002,7,1975-11-16,15:30:00,-35.417,174.567,E,"steaming, sailing",15,NA,overcast,none,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
25,1086003,4,1975-11-17,14:30:00,-35.25,168,E,"steaming, sailing",15,NA,partially cloudy,showers,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
26,1086003,2,1975-11-17,14:30:00,-35.25,168,E,"steaming, sailing",15,NA,partially cloudy,showers,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
27,1086003,3,1975-11-17,14:30:00,-35.25,168,E,"steaming, sailing",15,NA,partially cloudy,showers,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
28,1086003,3,1975-11-17,14:30:00,-35.25,168,E,"steaming, sailing",15,NA,partially cloudy,showers,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
29,1086003,1,1975-11-17,14:30:00,-35.25,168,E,"steaming, sailing",15,NA,partially cloudy,showers,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
30,1086003,1,1975-11-17,14:30:00,-35.25,168,E,"steaming, sailing",15,NA,partially cloudy,showers,3,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
31,1086004,4,1975-11-17,16:30:00,-35.3,167.333,E,"steaming, sailing",15,NA,partially cloudy,showers,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
32,1086004,2,1975-11-17,16:30:00,-35.3,167.333,E,"steaming, sailing",15,NA,partially cloudy,showers,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
33,1086004,3,1975-11-17,16:30:00,-35.3,167.333,E,"steaming, sailing",15,NA,partially cloudy,showers,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
34,1086004,1,1975-11-17,16:30:00,-35.3,167.333,E,"steaming, sailing",15,NA,partially cloudy,showers,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
35,1086004,1,1975-11-17,16:30:00,-35.3,167.333,E,"steaming, sailing",15,NA,partially cloudy,showers,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
36,1086005,3,1975-11-18,14:30:00,-36.5,161,E,"steaming, sailing",15,NA,partially cloudy,none,3,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
37,1086005,4,1975-11-18,14:30:00,-36.5,161,E,"steaming, sailing",15,NA,partially cloudy,none,3,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
38,1086005,2,1975-11-18,14:30:00,-36.5,161,E,"steaming, sailing",15,NA,partially cloudy,none,3,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
39,1086005,4,1975-11-18,14:30:00,-36.5,161,E,"steaming, sailing",15,NA,partially cloudy,none,3,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
40,1086005,2,1975-11-18,14:30:00,-36.5,161,E,"steaming, sailing",15,NA,partially cloudy,none,3,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
41,1086005,2,1975-11-18,14:30:00,-36.5,161,E,"steaming, sailing",15,NA,partially cloudy,none,3,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
42,1086006,1,1975-11-18,16:30:00,-36.333,160.5,E,"steaming, sailing",15,NA,partially cloudy,none,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
43,1086006,3,1975-11-18,16:30:00,-36.333,160.5,E,"steaming, sailing",15,NA,partially cloudy,none,2,NA,NA,NA,3,NA,NA,D. Jeffcock,full,spring
44,1086007,1,1975-11-20,12:00:00,-39.183,146.283,E,"steaming, sailing",15,NA,overcast,none,7,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
45,1086007,1,1975-11-20,12:00:00,-39.183,146.283,E,"steaming, sailing",15,NA,overcast,none,7,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
46,1086007,1,1975-11-20,12:00:00,-39.183,146.283,E,"steaming, sailing",15,NA,overcast,none,7,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
47,1087001,NA,1975-11-22,14:00:00,NA,NA,NA,"steaming, sailing",15,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
48,1087002,3,1975-11-23,14:30:00,-39.667,154.167,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
49,1087002,2,1975-11-23,14:30:00,-39.667,154.167,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
50,1087002,3,1975-11-23,14:30:00,-39.667,154.167,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
51,1087002,3,1975-11-23,14:30:00,-39.667,154.167,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
52,1087003,3,1975-11-23,16:00:00,-39.667,155,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
53,1087003,2,1975-11-23,16:00:00,-39.667,155,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
54,1087003,3,1975-11-23,16:00:00,-39.667,155,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
55,1087003,6,1975-11-23,16:00:00,-39.667,155,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
56,1087003,48,1975-11-23,16:00:00,-39.667,155,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
57,1087003,1,1975-11-23,16:00:00,-39.667,155,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
58,1087004,3,1975-11-24,12:00:00,-39.85,161.933,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
59,1087004,2,1975-11-24,12:00:00,-39.85,161.933,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
60,1087004,3,1975-11-24,12:00:00,-39.85,161.933,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
61,1087005,3,1975-11-24,14:00:00,-39.933,162.083,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
62,1087005,2,1975-11-24,14:00:00,-39.933,162.083,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
63,1087005,3,1975-11-24,14:00:00,-39.933,162.083,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
64,1087006,3,1975-11-24,16:00:00,-40,164,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
65,1087006,2,1975-11-24,16:00:00,-40,164,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
66,1087006,3,1975-11-24,16:00:00,-40,164,E,"steaming, sailing",15,NA,overcast,none,6,NA,NA,NA,5,NA,NA,D. Jeffcock,full,spring
67,1087007,2,1975-11-24,18:00:00,-40,NA,NA,"steaming, sailing",15,NA,partially cloudy,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
68,1087008,1,1975-11-25,10:00:00,-40.1,167.5,E,"steaming, sailing",15,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
69,1087008,1,1975-11-25,10:00:00,-40.1,167.5,E,"steaming, sailing",15,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
70,1087008,2,1975-11-25,10:00:00,-40.1,167.5,E,"steaming, sailing",15,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
71,1087008,3,1975-11-25,10:00:00,-40.1,167.5,E,"steaming, sailing",15,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
72,1087008,4,1975-11-25,10:00:00,-40.1,167.5,E,"steaming, sailing",15,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
73,1087008,48,1975-11-25,10:00:00,-40.1,167.5,E,"steaming, sailing",15,NA,overcast,none,4,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
74,1087009,1,1975-11-25,13:00:00,-40.167,168.667,E,"steaming, sailing",15,NA,overcast,none,5,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
75,1087009,1,1975-11-25,13:00:00,-40.167,168.667,E,"steaming, sailing",15,NA,overcast,none,5,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
76,1087009,4,1975-11-25,13:00:00,-40.167,168.667,E,"steaming, sailing",15,NA,overcast,none,5,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
77,1087009,4,1975-11-25,13:00:00,-40.167,168.667,E,"steaming, sailing",15,NA,overcast,none,5,NA,NA,NA,4,NA,NA,D. Jeffcock,full,spring
